team,salary,player,position,season
LA Clippers,107676,Nate Robinson, PG,2014-2015
Brooklyn Nets,96056,Jorge Gutierrez, PG,2014-2015
Washington Wizards,96056,Toure' Murry, SF,2014-2015
Utah Jazz,92514,Bryce Cotton, G,2014-2015
Los Angeles Lakers,59686,Jabari Brown, SG,2014-2015
Utah Jazz,59686,Jack Cooley, F,2014-2015
Portland Trail Blazers,59686,Tim Frazier, PG,2014-2015
Memphis Grizzlies,53838,Tyrus Thomas, PF,2014-2015
Phoenix Suns,53838,A.J. Price, PG,2014-2015
San Antonio Spurs,53838,Austin Daye, SF,2014-2015
Phoenix Suns,48028,Seth Curry, SG,2014-2015
New York Knicks,48028,Ricky Ledo, SG,2014-2015
Miami Heat,29843,Andre Dawkins, SG,2014-2015
Sacramento Kings,29483,David Stockton, G,2014-2015
Los Angeles Lakers,2.50E+07,Kobe Bryant, SF,2015-2016
San Antonio Spurs,19689000,LaMarcus Aldridge, PF,2015-2016
Cleveland Cavaliers,19689000,Kevin Love, PF,2015-2016
Memphis Grizzlies,19688000,Marc Gasol, C,2015-2016
LA Clippers,18907726,Blake Griffin, PF,2015-2016
Atlanta Hawks,18671659,Paul Millsap, PF,2015-2016
Indiana Pacers,17120106,Paul George, SF,2015-2016
Oklahoma City Thunder,16744218,Russell Westbrook, PG,2015-2016
Cleveland Cavaliers,16407501,Kyrie Irving, PG,2015-2016
San Antonio Spurs,16407500,Kawhi Leonard, SF,2015-2016
Milwaukee Bucks,16407500,Greg Monroe, C,2015-2016
Cleveland Cavaliers,22970500,LeBron James, SF,2015-2016
Dallas Mavericks,16407500,Wesley Matthews, SG,2015-2016
Orlando Magic,1.60E+07,Tobias Harris, SF,2015-2016
Washington Wizards,15851950,John Wall, PG,2015-2016
Sacramento Kings,15851950,DeMarcus Cousins, C,2015-2016
Houston Rockets,15756438,James Harden, PG,2015-2016
Los Angeles Lakers,15592217,Roy Hibbert, C,2015-2016
New Orleans Pelicans,15514031,Eric Gordon, SG,2015-2016
Golden State Warriors,15501000,Klay Thompson, SG,2015-2016
Utah Jazz,15409570,Gordon Hayward, SF,2015-2016
Dallas Mavericks,15361500,Chandler Parsons, SF,2015-2016
New York Knicks,22875000,Carmelo Anthony, PF,2015-2016
Miami Heat,14783000,Goran Dragic, PG,2015-2016
Milwaukee Bucks,14700000,Khris Middleton, SF,2015-2016
Golden State Warriors,14260870,Draymond Green, PF,2015-2016
Cleveland Cavaliers,14260870,Tristan Thompson, C,2015-2016
Denver Nuggets,1.40E+07,Danilo Gallinari, SF,2015-2016
Detroit Pistons,13913044,Reggie Jackson, PG,2015-2016
Golden State Warriors,13800000,Andrew Bogut, C,2015-2016
Toronto Raptors,13600000,DeMarre Carroll, SF,2015-2016
Phoenix Suns,13500000,Eric Bledsoe, PG,2015-2016
Charlotte Hornets,13500000,Al Jefferson, C,2015-2016
Houston Rockets,22359364,Dwight Howard, C,2015-2016
Phoenix Suns,13500000,Brandon Knight, PG,2015-2016
Miami Heat,22192730,Chris Bosh, PF,2015-2016
LA Clippers,21468695,Chris Paul, PG,2015-2016
Oklahoma City Thunder,20158622,Kevin Durant, SF,2015-2016
Chicago Bulls,20093064,Derrick Rose, PG,2015-2016
Miami Heat,2.00E+07,Dwyane Wade, SG,2015-2016
San Antonio Spurs,13437500,Tony Parker, PG,2015-2016
Chicago Bulls,13400000,Joakim Noah, C,2015-2016
Charlotte Hornets,13125306,Nicolas Batum, SF,2015-2016
Phoenix Suns,1.30E+07,Tyson Chandler, C,2015-2016
Washington Wizards,1.30E+07,Nene Hilario, C,2015-2016
Minnesota Timberwolves,12700000,Ricky Rubio, PG,2015-2016
New York Knicks,12650000,Robin Lopez, C,2015-2016
Sacramento Kings,12403101,Rudy Gay, SF,2015-2016
Oklahoma City Thunder,12250000,Serge Ibaka, PF,2015-2016
Minnesota Timberwolves,12100000,Nikola Pekovic, C,2015-2016
Toronto Raptors,1.20E+07,Kyle Lowry, PG,2015-2016
Charlotte Hornets,1.20E+07,Kemba Walker, PG,2015-2016
Atlanta Hawks,1.20E+07,Al Horford, C,2015-2016
Golden State Warriors,11710456,Andre Iguodala, SG,2015-2016
Golden State Warriors,11370786,Stephen Curry, PG,2015-2016
Orlando Magic,11250000,Nikola Vucevic, C,2015-2016
Denver Nuggets,11235955,Kenneth Faried, PF,2015-2016
Brooklyn Nets,11235955,Thaddeus Young, PF,2015-2016
Washington Wizards,11217391,Marcin Gortat, C,2015-2016
New Orleans Pelicans,10734586,Tyreke Evans, SG,2015-2016
New Orleans Pelicans,10595507,Jrue Holiday, PG,2015-2016
Portland Trail Blazers,10522500,Brendan Haywood, C,2015-2016
Philadelphia 76ers,10449438,Wilson Chandler, SF,2015-2016
Indiana Pacers,10300000,Monta Ellis, SG,2015-2016
Miami Heat,10151612,Luol Deng, SF,2015-2016
Philadelphia 76ers,10105855,Gerald Wallace, SF,2015-2016
Toronto Raptors,10050000,DeMar DeRozan, SG,2015-2016
San Antonio Spurs,1.00E+07,Danny Green, SG,2015-2016
Atlanta Hawks,9756250,Tiago Splitter, C,2015-2016
Memphis Grizzlies,9650000,Jeff Green, SF,2015-2016
Memphis Grizzlies,9638555,Zach Randolph, PF,2015-2016
Memphis Grizzlies,9588426,Mike Conley, PG,2015-2016
Sacramento Kings,9500000,Rajon Rondo, PG,2015-2016
Utah Jazz,9463484,Alec Burks, SG,2015-2016
New Orleans Pelicans,9213483,Omer Asik, C,2015-2016
Memphis Grizzlies,9.00E+06,Lance Stephenson, SG,2015-2016
Cleveland Cavaliers,8988765,Iman Shumpert, SG,2015-2016
New Orleans Pelicans,8500000,Ryan Anderson, PF,2015-2016
Chicago Bulls,8500000,Taj Gibson, PF,2015-2016
Orlando Magic,8344497,Brandon Jennings, G,2015-2016
Toronto Raptors,7.00E+06,Cory Joseph, PG,2015-2016
Portland Trail Blazers,6980802,Ed Davis, PF,2015-2016
Boston Celtics,6912869,Isaiah Thomas, PG,2015-2016
Boston Celtics,6796117,Jae Crowder, PF,2015-2016
Milwaukee Bucks,6600000,Greivis Vasquez, PG,2015-2016
Philadelphia 76ers,6500000,Carl Landry, PF,2015-2016
Detroit Pistons,6500000,Aron Baynes, C,2015-2016
Houston Rockets,6486486,Patrick Beverley, PG,2015-2016
Charlotte Hornets,6331404,Michael Kidd-Gilchrist, SF,2015-2016
Brooklyn Nets,6300000,Jarrett Jack, G,2015-2016
Detroit Pistons,6270000,Jodie Meeks, SG,2015-2016
Toronto Raptors,6268675,Patrick Patterson, PF,2015-2016
Charlotte Hornets,6110034,Spencer Hawes, PF,2015-2016
Sacramento Kings,6060606,Marco Belinelli, G,2015-2016
Portland Trail Blazers,6.00E+06,Gerald Henderson, SG,2015-2016
Minnesota Timberwolves,5758680,Andrew Wiggins, SF,2015-2016
Atlanta Hawks,5746479,Kyle Korver, SG,2015-2016
Minnesota Timberwolves,5703600,Karl-Anthony Towns, C,2015-2016
Washington Wizards,5694674,Bradley Beal, SG,2015-2016
LA Clippers,5675000,Jamal Crawford, SG,2015-2016
Charlotte Hornets,5675000,Courtney Lee, SG,2015-2016
Dallas Mavericks,8333334,Dirk Nowitzki, PF,2015-2016
Houston Rockets,8229375,Corey Brewer, F,2015-2016
Houston Rockets,8193030,Trevor Ariza, SF,2015-2016
Orlando Magic,8193029,Channing Frye, F,2015-2016
Portland Trail Blazers,8042895,Al-Farouq Aminu, PF,2015-2016
Atlanta Hawks,8.00E+06,Jeff Teague, PG,2015-2016
Washington Wizards,8.00E+06,Markieff Morris, PF,2015-2016
New York Knicks,8.00E+06,Arron Afflalo, G,2015-2016
Indiana Pacers,8.00E+06,George Hill, PG,2015-2016
Orlando Magic,7900000,Ersan Ilyasova, PF,2015-2016
Boston Celtics,7730337,Avery Bradley, SG,2015-2016
Sacramento Kings,7700000,Kosta Koufos, C,2015-2016
San Antonio Spurs,7500000,Boris Diaw, C,2015-2016
Chicago Bulls,7448760,Pau Gasol, C,2015-2016
New York Knicks,7402812,Jose Calderon, PG,2015-2016
LA Clippers,7085000,JJ Redick, SG,2015-2016
New Orleans Pelicans,7070730,Anthony Davis, PF,2015-2016
Charlotte Hornets,7.00E+06,Marvin Williams, PF,2015-2016
Los Angeles Lakers,7.00E+06,Lou Williams, SG,2015-2016
New Orleans Pelicans,5613500,Martell Webster, SF,2015-2016
Golden State Warriors,5543725,Shaun Livingston, PG,2015-2016
Chicago Bulls,5543725,Nikola Mirotic, PF,2015-2016
Phoenix Suns,5500000,Mirza Teletovic, PF,2015-2016
Phoenix Suns,5500000,PJ Tucker, SF,2015-2016
Memphis Grizzlies,5464000,Brandan Wright, F,2015-2016
Dallas Mavericks,5378974,Deron Williams, PG,2015-2016
San Antonio Spurs,5250000,Tim Duncan, C,2015-2016
Los Angeles Lakers,5219169,Nick Young, G,2015-2016
Dallas Mavericks,5200000,Zaza Pachulia, C,2015-2016
Orlando Magic,5192520,Victor Oladipo, SG,2015-2016
Memphis Grizzlies,5158539,Tony Allen, SG,2015-2016
Milwaukee Bucks,5152440,Jabari Parker, PF,2015-2016
Oklahoma City Thunder,5138430,Dion Waiters, SG,2015-2016
Los Angeles Lakers,5103120,D'Angelo Russell, PG,2015-2016
Portland Trail Blazers,5016000,Chris Kaman, C,2015-2016
Sacramento Kings,5013559,Darren Collison, PG,2015-2016
Boston Celtics,5.00E+06,Jonas Jerebko, PF,2015-2016
Orlando Magic,5.00E+06,C.J. Watson, PG,2015-2016
Memphis Grizzlies,5.00E+06,Chris Andersen, PF,2015-2016
Detroit Pistons,5.00E+06,Marcus Morris, PF,2015-2016
Cleveland Cavaliers,4950000,Timofey Mozgov, C,2015-2016
Utah Jazz,4775000,Trevor Booker, F,2015-2016
Washington Wizards,4662960,Otto Porter Jr., SF,2015-2016
Toronto Raptors,4660482,Jonas Valanciunas, C,2015-2016
Philadelphia 76ers,4626960,Joel Embiid, C,2015-2016
Philadelphia 76ers,4582680,Jahlil Okafor, C,2015-2016
Oklahoma City Thunder,4500000,Kyle Singler, F,2015-2016
Chicago Bulls,4500000,Mike Dunleavy, SG,2015-2016
Indiana Pacers,4394225,CJ Miles, SF,2015-2016
New Orleans Pelicans,4389607,Alexis Ajinca, C,2015-2016
Washington Wizards,4375000,Jared Dudley, SF,2015-2016
Denver Nuggets,4345000,Jameer Nelson, G,2015-2016
Memphis Grizzlies,4300000,Mario Chalmers, G,2015-2016
Orlando Magic,4300000,Jason Smith, PF,2015-2016
Dallas Mavericks,4290000,J.J. Barea, PG,2015-2016
Portland Trail Blazers,4236287,Damian Lillard, PG,2015-2016
Charlotte Hornets,4204200,Cody Zeller, C,2015-2016
Orlando Magic,4171680,Aaron Gordon, PF,2015-2016
New York Knicks,4131720,Kristaps Porzingis, PF,2015-2016
Memphis Grizzlies,4088019,Vince Carter, SF,2015-2016
Dallas Mavericks,4053446,Devin Harris, PG,2015-2016
Indiana Pacers,4050000,Lavoy Allen, F,2015-2016
Indiana Pacers,4.00E+06,Jordan Hill, C,2015-2016
Indiana Pacers,4.00E+06,Ian Mahinmi, C,2015-2016
Atlanta Hawks,4.00E+06,Thabo Sefolosha, SF,2015-2016
New York Knicks,4.00E+06,Derrick Williams, PF,2015-2016
Washington Wizards,4.00E+06,Alan Anderson, SG,2015-2016
Dallas Mavericks,3950313,Raymond Felton, PG,2015-2016
Minnesota Timberwolves,3950001,Nemanja Bjelica, PF,2015-2016
Golden State Warriors,3873398,Harrison Barnes, SF,2015-2016
Golden State Warriors,3815000,Marreese Speights, F,2015-2016
Phoenix Suns,3807120,Alex Len, C,2015-2016
Utah Jazz,3777720,Dante Exum, PG,2015-2016
Oklahoma City Thunder,3750000,Nick Collison, F,2015-2016
New York Knicks,3750000,Kyle O'Quinn, C,2015-2016
Orlando Magic,3741480,Mario Hezonja, SF,2015-2016
San Antonio Spurs,3578947,Patty Mills, PG,2015-2016
Toronto Raptors,3553917,Terrence Ross, SG,2015-2016
Memphis Grizzlies,3542500,Matt Barnes, SF,2015-2016
Denver Nuggets,3533333,Will Barton, SG,2015-2016
Philadelphia 76ers,3457800,Nerlens Noel, PF,2015-2016
Boston Celtics,3431040,Marcus Smart, PG,2015-2016
Boston Celtics,3425510,Evan Turner, SG,2015-2016
Brooklyn Nets,3425510,Bojan Bogdanovic, SF,2015-2016
Sacramento Kings,3398280,Willie Cauley-Stein, C,2015-2016
San Antonio Spurs,3382023,Quincy Pondexter, SF,2015-2016
LA Clippers,3376000,Paul Pierce, SF,2015-2016
Oklahoma City Thunder,3344000,Anthony Morrow, SG,2015-2016
Atlanta Hawks,3333333,Mike Scott, PF,2015-2016
Washington Wizards,3300000,Drew Gooden, PF,2015-2016
Detroit Pistons,3272091,Andre Drummond, C,2015-2016
Houston Rockets,3189794,KJ McDaniels, F,2015-2016
Sacramento Kings,3156600,Ben McLemore, SG,2015-2016
Oklahoma City Thunder,3135000,Randy Foye, SG,2015-2016
Los Angeles Lakers,3132240,Julius Randle, PF,2015-2016
LA Clippers,3110796,Austin Rivers, PG,2015-2016
Denver Nuggets,3102240,Emmanuel Mudiay, PG,2015-2016
Portland Trail Blazers,3075880,Meyers Leonard, PF,2015-2016
New Orleans Pelicans,3036927,Norris Cole, PG,2015-2016
Charlotte Hornets,3034356,Jeremy Lamb, SG,2015-2016
Detroit Pistons,3.00E+06,Anthony Tolliver, PF,2015-2016
Milwaukee Bucks,3.00E+06,Jerryd Bayless, PG,2015-2016
Los Angeles Lakers,3.00E+06,Brandon Bass, PF,2015-2016
Milwaukee Bucks,2943221,John Henson, F,2015-2016
Utah Jazz,2900000,Tibor Pleiss, C,2015-2016
Toronto Raptors,2900000,Luis Scola, F,2015-2016
Portland Trail Blazers,2894059,Maurice Harkless, SF,2015-2016
Detroit Pistons,2891760,Kentavious Caldwell-Pope, SG,2015-2016
Philadelphia 76ers,2869440,Nik Stauskas, SG,2015-2016
Charlotte Hornets,2854940,Brian Roberts, PG,2015-2016
Miami Heat,2854940,Udonis Haslem, PF,2015-2016
Chicago Bulls,2854940,Kirk Hinrich, SG,2015-2016
New Orleans Pelicans,2850000,Dante Cunningham, SF,2015-2016
Detroit Pistons,2841960,Stanley Johnson, SF,2015-2016
Philadelphia 76ers,2836768,Furkan Aldemir, PF,2015-2016
Sacramento Kings,2836186,Omri Casspi, SF,2015-2016
Phoenix Suns,2814000,Sonny Weems, SG,2015-2016
Toronto Raptors,2814000,Bismack Biyombo, C,2015-2016
San Antonio Spurs,2814000,Manu Ginobili, G,2015-2016
New York Knicks,2814000,Kevin Seraphin, C,2015-2016
Toronto Raptors,2750000,Luke Ridnour, PG,2015-2016
Utah Jazz,2658240,Trey Burke, PG,2015-2016
Portland Trail Blazers,2637720,Noah Vonleh, PF,2015-2016
Boston Celtics,2616975,Tyler Zeller, C,2015-2016
Charlotte Hornets,2612520,Frank Kaminsky, PF,2015-2016
Boston Celtics,2569260,Jared Sullinger, C,2015-2016
Portland Trail Blazers,2525160,CJ McCollum, SG,2015-2016
Orlando Magic,2505720,Elfrid Payton, PG,2015-2016
Golden State Warriors,2500000,Leandro Barbosa, G,2015-2016
Toronto Raptors,2500000,James Johnson, PF,2015-2016
Houston Rockets,2489530,Terrence Jones, PF,2015-2016
Miami Heat,2481720,Justise Winslow, SF,2015-2016
Utah Jazz,2433333,Shelvin Mack, PG,2015-2016
Milwaukee Bucks,2399040,Michael Carter-Williams, PG,2015-2016
Orlando Magic,2380593,Andrew Nicholson, PF,2015-2016
Chicago Bulls,2380440,Doug McDermott, SF,2015-2016
Indiana Pacers,2357760,Myles Turner, C,2015-2016
Orlando Magic,2288205,Evan Fournier, SG,2015-2016
Houston Rockets,2288205,Donatas Motiejunas, PF,2015-2016
Oklahoma City Thunder,2279040,Steven Adams, C,2015-2016
Chicago Bulls,2250000,Aaron Brooks, G,2015-2016
Utah Jazz,2239800,Trey Lyles, PF,2015-2016
Washington Wizards,2170465,Ramon Sessions, G,2015-2016
Detroit Pistons,2170465,Steve Blake, PG,2015-2016
Memphis Grizzlies,2170465,Beno Udrih, PG,2015-2016
Detroit Pistons,2170465,Danny Granger, SF,2015-2016
Boston Celtics,2165160,Kelly Olynyk, PF,2015-2016
Minnesota Timberwolves,2148360,Zach LaVine, PG,2015-2016
Philadelphia 76ers,2144772,Kendall Marshall, PG,2015-2016
Washington Wizards,2139000,Gary Neal, PG,2015-2016
Charlotte Hornets,2139000,Jeremy Lin, PG,2015-2016
Phoenix Suns,2127840,Devin Booker, SG,2015-2016
Milwaukee Bucks,2109294,Miles Plumlee, C,2015-2016
Cleveland Cavaliers,2100000,Mo Williams, PG,2015-2016
Dallas Mavericks,2085671,David Lee, PF,2015-2016
Minnesota Timberwolves,2056920,Shabazz Muhammad, F,2015-2016
Utah Jazz,2050000,Joe Ingles, SF,2015-2016
Phoenix Suns,2041080,TJ Warren, SF,2015-2016
New Orleans Pelicans,2038206,Perry Jones, SF,2015-2016
Oklahoma City Thunder,2021520,Cameron Payne, PG,2015-2016
Golden State Warriors,2008748,Festus Ezeli, C,2015-2016
Washington Wizards,2.00E+06,DeJuan Blair, C,2015-2016
Atlanta Hawks,2.00E+06,Kent Bazemore, SG,2015-2016
Milwaukee Bucks,1953960,Giannis Antetokounmpo, PF,2015-2016
Minnesota Timberwolves,1938840,Adreian Payne, PF,2015-2016
Washington Wizards,1920240,Kelly Oubre Jr., SF,2015-2016
Toronto Raptors,1842000,Lucas Nogueira, C,2015-2016
Denver Nuggets,1842000,Jusuf Nurkic, C,2015-2016
Boston Celtics,1824360,Terry Rozier, PG,2015-2016
Atlanta Hawks,1763400,Dennis Schroder, PG,2015-2016
Boston Celtics,1749840,James Young, G,2015-2016
Milwaukee Bucks,1733040,Rashad Vaughn, G,2015-2016
Los Angeles Lakers,1724250,Ryan Kelly, PF,2015-2016
Denver Nuggets,1709719,Joffrey Lauvergne, F,2015-2016
Boston Celtics,1706225,Zoran Dragic, SG,2015-2016
Milwaukee Bucks,1662360,Tyler Ennis, G,2015-2016
Houston Rockets,1646400,Sam Dekker, SF,2015-2016
New York Knicks,1636842,Lance Thomas, SF,2015-2016
New York Knicks,1635476,Lou Amundson, PF,2015-2016
Brooklyn Nets,1599840,Sergey Karasev, SG,2015-2016
Denver Nuggets,1584480,Gary Harris, SG,2015-2016
New York Knicks,1572360,Jerian Grant, PG,2015-2016
Chicago Bulls,1535880,Tony Snell, SG,2015-2016
Toronto Raptors,1524000,Bruno Caboclo, F,2015-2016
Toronto Raptors,1509360,Delon Wright, PG,2015-2016
Brooklyn Nets,1500000,Wayne Ellington, SG,2015-2016
Brooklyn Nets,1500000,Shane Larkin, G,2015-2016
San Antonio Spurs,1499187,David West, F,2015-2016
Minnesota Timberwolves,1474440,Gorgui Dieng, C,2015-2016
Oklahoma City Thunder,1463040,Mitch McGary, PF,2015-2016
Sacramento Kings,1449187,Caron Butler, SF,2015-2016
Dallas Mavericks,1449000,Justin Anderson, SG,2015-2016
Portland Trail Blazers,1415520,Mason Plumlee, PF,2015-2016
Memphis Grizzlies,1404600,Jordan Adams, SG,2015-2016
Chicago Bulls,1391160,Bobby Portis, PF,2015-2016
Brooklyn Nets,1362897,Andrea Bargnani, C,2015-2016
Indiana Pacers,1358880,Solomon Hill, SF,2015-2016
Utah Jazz,1348440,Rodney Hood, SG,2015-2016
Brooklyn Nets,1335480,Rondae Hollis-Jefferson, SF,2015-2016
New Orleans Pelicans,1320000,Alonzo Gee, SF,2015-2016
Atlanta Hawks,1304520,Tim Hardaway Jr., G,2015-2016
Denver Nuggets,1300000,Nikola Jokic, C,2015-2016
Orlando Magic,1294440,Shabazz Napier, PG,2015-2016
Minnesota Timberwolves,1282080,Tyus Jones, PG,2015-2016
Cleveland Cavaliers,1276000,Sasha Kaun, C,2015-2016
Golden State Warriors,1270964,Brandon Rush, SG,2015-2016
Detroit Pistons,1270964,Cartier Martin, PF,2015-2016
Detroit Pistons,1252440,Reggie Bullock, SG,2015-2016
Houston Rockets,1242720,Clint Capela, C,2015-2016
Memphis Grizzlies,1230840,Jarell Martin, PF,2015-2016
Oklahoma City Thunder,1210800,Andre Roberson, SG,2015-2016
Charlotte Hornets,1201440,P.J. Hairston, SF,2015-2016
San Antonio Spurs,1200000,Boban Marjanovic, C,2015-2016
Brooklyn Nets,1185784,Earl Clark, SF,2015-2016
New Orleans Pelicans,1185784,Reggie Williams, SF,2015-2016
Utah Jazz,1175880,Rudy Gobert, C,2015-2016
Boston Celtics,1170960,Jordan Mickey, F,2015-2016
New Orleans Pelicans,1164858,Toney Douglas, PG,2015-2016
Phoenix Suns,1160160,Archie Goodwin, SG,2015-2016
LA Clippers,1159680,CJ Wilcox, G,2015-2016
Los Angeles Lakers,1155600,Larry Nance Jr., PF,2015-2016
Milwaukee Bucks,1150000,Chris Copeland, SF,2015-2016
Minnesota Timberwolves,1149500,Damjan Rudez, SF,2015-2016
Boston Celtics,1148640,R.J. Hunter, G,2015-2016
Cleveland Cavaliers,1147276,Matthew Dellavedova, PG,2015-2016
San Antonio Spurs,1142880,Kyle Anderson, SF,2015-2016
Oklahoma City Thunder,1140240,Josh Huestis, F,2015-2016
Brooklyn Nets,1140240,Chris McCullough, F,2015-2016
Golden State Warriors,1131960,Kevon Looney, SF,2015-2016
New Orleans Pelicans,1100602,Luke Babbitt, F,2015-2016
Miami Heat,1100602,Henry Walker, SF,2015-2016
Washington Wizards,1100602,Garrett Temple, SG,2015-2016
LA Clippers,1100602,Wesley Johnson, SF,2015-2016
Dallas Mavericks,1100602,Jeremy Evans, F,2015-2016
Indiana Pacers,1100000,Glenn Robinson III, SG,2015-2016
Philadelphia 76ers,1074169,Richaun Holmes, PF,2015-2016
Phoenix Suns,1035000,Jon Leuer, PF,2015-2016
LA Clippers,1015421,Lester Hudson, SG,2015-2016
Sacramento Kings,1015421,James Anderson, SG,2015-2016
Chicago Bulls,1015421,E'Twaun Moore, G,2015-2016
Indiana Pacers,1007026,Rakeem Christmas, PF,2015-2016
Indiana Pacers,1007026,Joe Young, G,2015-2016
Washington Wizards,1.00E+06,Kris Humphries, PF,2015-2016
Philadelphia 76ers,1.00E+06,Robert Covington, SF,2015-2016
Houston Rockets,1.00E+06,Montrezl Harrell, PF,2015-2016
Atlanta Hawks,1.00E+06,Edy Tavares, C,2015-2016
Phoenix Suns,981348,Jerel McNeal, SG,2015-2016
Miami Heat,981348,Hassan Whiteside, C,2015-2016
Sacramento Kings,981348,Quincy Acy, F,2015-2016
Brooklyn Nets,981348,Quincy Miller, SF,2015-2016
Phoenix Suns,981348,John Jenkins, G,2015-2016
Utah Jazz,981348,Chris Johnson, SG,2015-2016
Brooklyn Nets,981348,Thomas Robinson, F,2015-2016
LA Clippers,947726,Pablo Prigioni, PG,2015-2016
Charlotte Hornets,947276,Troy Daniels, SG,2015-2016
Phoenix Suns,947276,Ronnie Price, PG,2015-2016
Philadelphia 76ers,947276,Isaiah Canaan, PG,2015-2016
Toronto Raptors,947276,Anthony Bennett, PF,2015-2016
Minnesota Timberwolves,947276,Tayshaun Prince, SF,2015-2016
Minnesota Timberwolves,947276,John Lucas III, PG,2015-2016
Charlotte Hornets,947276,Tyler Hansbrough, PF,2015-2016
San Antonio Spurs,947276,Matt Bonner, C,2015-2016
Brooklyn Nets,947276,Henry Sims, C,2015-2016
Miami Heat,947276,Gerald Green, SG,2015-2016
Chicago Bulls,947276,Justin Holiday, SF,2015-2016
Atlanta Hawks,947276,Jason Richardson, SG,2015-2016
Utah Jazz,9.00E+05,Raul Neto, PG,2015-2016
New York Knicks,874837,Jimmer Fredette, G,2015-2016
Milwaukee Bucks,855000,Damien Inglis, SF,2015-2016
Perth Perth,845059,Terrico White, G,2015-2016
Utah Jazz,845059,Elijah Millsap, SG,2015-2016
Golden State Warriors,845059,James Michael McAdoo, SF,2015-2016
Milwaukee Bucks,845059,Jabari Brown, SG,2015-2016
Milwaukee Bucks,845059,Marcus Landry, SF,2015-2016
Cleveland Cavaliers,845059,Joe Harris, SF,2015-2016
Milwaukee Bucks,845059,Johnny O'Bryant III, PF,2015-2016
Sacramento Kings,845059,Eric Moreland, C,2015-2016
Memphis Grizzlies,845059,JaMychal Green, PF,2015-2016
Memphis Grizzlies,845059,Russ Smith, PG,2015-2016
Sacramento Kings,845059,Jack Cooley, F,2015-2016
Portland Trail Blazers,845059,Tim Frazier, PG,2015-2016
Denver Nuggets,800321,Kostas Papanikolaou, SF,2015-2016
Memphis Grizzlies,700902,Bryce Cotton, G,2015-2016
Los Angeles Lakers,7.00E+05,Anthony Brown, F,2015-2016
Toronto Raptors,650000,Norman Powell, SF,2015-2016
Portland Trail Blazers,625093,Pat Connaughton, SG,2015-2016
Detroit Pistons,6.00E+05,Darrun Hilliard, G,2015-2016
Washington Wizards,561716,Jarell Eddie, F,2015-2016
Phoenix Suns,525093,Deonte Burton, PG,2015-2016
Phoenix Suns,525093,Kyle Casey, SF,2015-2016
Philadelphia 76ers,525093,T.J. McConnell, PG,2015-2016
Philadelphia 76ers,525093,Scottie Wilbekin, PG,2015-2016
Utah Jazz,525093,J.J. O'Brien, SF,2015-2016
Brooklyn Nets,525093,Treveon Graham, SG,2015-2016
Orlando Magic,525093,Melvin Ejim, SF,2015-2016
LA Clippers,525093,Branden Dawson, SF,2015-2016
Toronto Raptors,525093,Ronald Roberts Jr., PF,2015-2016
Memphis Grizzlies,525093,Jarrid Famous, PF,2015-2016
Los Angeles Lakers,525093,Jamil Wilson, SF,2015-2016
Sacramento Kings,525093,Duje Dukan, PF,2015-2016
Boston Celtics,525093,Jonathan Holmes, PF,2015-2016
Atlanta Hawks,525093,Lamar Patterson, SG,2015-2016
Houston Rockets,306527,Michael Beasley, SF,2015-2016
Oklahoma City Thunder,295327,Steve Novak, SF,2015-2016
Golden State Warriors,289755,Anderson Varejao, C,2015-2016
Washington Wizards,273038,JJ Hickson, C,2015-2016
Brooklyn Nets,261894,Joe Johnson, G,2015-2016
Philadelphia 76ers,258489,JaKarr Sampson, F,2015-2016
San Antonio Spurs,250750,Andre Miller, PG,2015-2016
Toronto Raptors,245177,Jason Thompson, PF,2015-2016
Memphis Grizzlies,239605,Ryan Hollins, C,2015-2016
Oklahoma City Thunder,222888,Nazr Mohammed, C,2015-2016
Indiana Pacers,211744,Ty Lawson, G,2015-2016
Phoenix Suns,206192,Chase Budinger, SF,2015-2016
Washington Wizards,200600,Marcus Thornton, SG,2015-2016
San Antonio Spurs,200600,Kevin Martin, SG,2015-2016
Houston Rockets,200600,Andrew Goudelock, PG,2015-2016
Charlotte Hornets,189455,Jorge Gutierrez, PG,2015-2016
New Orleans Pelicans,169883,Bryce Dejean-Jones, SG,2015-2016
Philadelphia 76ers,167406,Tony Wroten, SG,2015-2016
Brooklyn Nets,134215,Sean Kilpatrick, G,2015-2016
Phoenix Suns,111444,Lorenzo Brown, PG,2015-2016
LA Clippers,111444,Jeff Ayres, F,2015-2016
Phoenix Suns,111196,Jordan McRae, SG,2015-2016
Utah Jazz,99418,Erick Green, PG,2015-2016
Phoenix Suns,83397,Alan Williams, PF,2015-2016
Orlando Magic,61776,Keith Appling, PG,2015-2016
Phoenix Suns,55722,Orlando Johnson, SG,2015-2016
Memphis Grizzlies,55722,Elliot Williams, SG,2015-2016
Phoenix Suns,55722,Phil Pressey, PG,2015-2016
Phoenix Suns,49709,Cory Jefferson, F,2015-2016
New York Knicks,30888,Thanasis Antetokounmpo, SF,2015-2016
Cleveland Cavaliers,30963450,LeBron James, SF,2016-2017
LA Clippers,22868827,Chris Paul, PG,2016-2017
Memphis Grizzlies,22116750,Chandler Parsons, SF,2016-2017
Washington Wizards,22116750,Bradley Beal, SG,2016-2017
New Orleans Pelicans,22116750,Anthony Davis, PF,2016-2017
New York Knicks,21323252,Derrick Rose, PG,2016-2017
